release_date,artists,popularity
1963-03-22,The Beatles,56.42857142857143
1963-11-22,The Beatles,53.642857142857146
1964-01-01,The Rolling Stones,22.333333333333332
1964-04-16,The Rolling Stones,34.916666666666664
1964-05-30,The Rolling Stones,22.166666666666668
1964-07-10,The Beatles,55.53846153846154
1964-10-17,The Rolling Stones,33.5
1964-12-04,The Beatles,49.07142857142857
1965-01-15,The Rolling Stones,32.25
1965-02-13,The Rolling Stones,27.166666666666668
1965-07-30,The Rolling Stones,40.916666666666664
1965-08-06,The Beatles,57.357142857142854
1965-12-03,The Beatles,59.5
1965-12-04,The Rolling Stones,31.75
1966-01-01,The Rolling Stones,30.37037037037037
1966-03-28,The Rolling Stones,24.5
1966-04-15,The Rolling Stones,35.68
1966-08-05,The Beatles,58.714285714285715
1966-12-10,The Rolling Stones,19.333333333333332
1967-01-20,The Rolling Stones,32.93333333333333
1967-05-26,The Beatles,30.276923076923076
1967-06-01,The Beatles,42.15909090909091
1967-06-26,The Rolling Stones,34.083333333333336
1967-11-27,The Beatles,59.45454545454545
1967-12-08,The Rolling Stones,30.58823529411765
1968-11-22,The Beatles,55.166666666666664
1968-12-06,The Rolling Stones,45.7
1969-01-17,The Beatles,45.166666666666664
1969-09-12,The Rolling Stones,35.875
1969-09-26,The Beatles,53.86363636363637
1969-12-05,The Rolling Stones,45.833333333333336
1970-05-08,The Beatles,55.333333333333336
1970-09-04,The Rolling Stones,27.80952380952381
1971-04-23,The Rolling Stones,32.97560975609756
1971-12-20,The Rolling Stones,43.904761904761905
1972-05-12,The Rolling Stones,36.97826086956522
1972-12-11,The Rolling Stones,38.0
1973-04-01,The Beatles,42.38461538461539
1973-04-02,The Beatles,43.2962962962963
1973-08-31,The Rolling Stones,42.0
1974-10-18,The Rolling Stones,32.375
1975-06-06,The Rolling Stones,36.25
1976-04-23,The Rolling Stones,40.25
1978-06-09,The Rolling Stones,33.80769230769231
1980-06-20,The Rolling Stones,38.2
1981-08-24,The Rolling Stones,51.8
1982-06-01,The Rolling Stones,30.0
1983-11-07,The Rolling Stones,33.0
1986-03-24,The Rolling Stones,43.0
1988-03-07,The Beatles,39.9
1989-08-15,The Rolling Stones,43.666666666666664
1989-08-29,The Rolling Stones,44.5
1994-07-11,The Rolling Stones,43.333333333333336
1995-11-20,The Beatles,47.0
1996-03-18,The Beatles,50.0
1996-10-28,The Beatles,41.5
1997-09-29,The Rolling Stones,52.333333333333336
2000-11-13,The Beatles,59.30769230769231
2003-01-01,The Rolling Stones,47.0
2004-07-12,The Rolling Stones,50.666666666666664
2006-11-17,The Beatles,52.666666666666664
2014-01-01,The Beatles,58.0
